address,collection_id,balance,AGIX
addr1q8phy4txq55cwh4q8vae4z0h2sazr8gyakedtatczamffq8ms6lecnvd0fza4thyj8avmgnzcnr0wpj7an65rw732rvqthzc6r,9,0,0.00000000
addr1q8mv57c4hepy2wv5ussw84lh5v7hdaww5c24xzcdmnnvsg5cu725859prldcyy76k903dl6cjq2mr6qkapyysetxlnvs6al98s,9,35500000000,355.00000000
addr1q8jldcse4ncwzw80wmfvgp5wpsrkx3eqrd4sd2ltdwp8z4qqrva5czz2stg05rdwj54sv6z989hxx77a57lqa2h530ysuz2z4c,9,64500000000,645.00000000
0xfae57e506f75a0b8abd05c4ef8d96ba953696b13,25,0,0.00000000
addr1qx80cyw0ckvkgwv5mt2jtctrzzu52eguy4pdsracay8vdgky9rnja00ws0t4hyft90lyuewq8tj6jk9a9h705v76xsksanflzd,25,7000000000082,"70,000.00000082"
addr1qxp6k558npqxkvhf68jm5yvmcpwasn0su8yqnr2rdf73geawwkvrk7cjf59seauv9l3q5ev9qyphj9a8akmhmkq3exmq9qgazv,34,10200000000,102.00000000
addr1qxew97ru7f3yvuymxz7cqpajv4ca6uzntkrc895djydcgcsm4nyp56kck9g659updh6et4qevzfgjgfut6kkmxdcug2qk5kzh9,34,0,0.00000000
0x56a81415bf57764e1eba58e991ae7d4c711b4153,58,0,0.00000000
addr1qxsvaehpta5ydlt3vc2wckjs4aytaggg96th8fggvlup5x9g077hedy7h65fjwcsmfn90yf5nguclla59fv7gqghyfysqlvxg9,58,329940460413,"3,299.40460413"
addr1q9dmxsvmsznm83az92x55vr6xnt6wkssyu5gppwau0q84tmagvwxczny5xhyu6ugj63pjfea4rycfyl8xa5rd90arllsvpyqlf,71,0,0.00000000
0x87f999f8946ddac097abab040559cb1a04d72ad2,183,5560656813733,"55,606.56813733"
addr1qycajt3q23ahsfh337cgmpvelfy3apchlce4p9nsfrhtxkhld549dcx6xtp28qqjtrtgyy7n42pcfm6pzjx98502q08ssvszsg,183,0,0.00000000
0x05ab9868d8fa7b85948d9d243115eb2ab0c29bf5,261,120905498125,"1,209.05498125"
0x6e7c15ebf9e801093d9c2c7c99acae69e8204b53,272,4080044539412,"40,800.44539412"
0x09e77495cf1add94af305c6f91a8bdd5d2c07432,272,493120000,4.93120000
0x4090cf3f6e39dabac71c0092394084db4f183599,277,3054088989945,"30,540.88989945"
addr1qykff6wqhsxrns4gj2k5u2jqw6a823snf7c5nj0tv64lfgy8ffm4dqf42j8cwce6a4pf6494xdqjpdjus0den62a0qkstrq4ux,277,380148017222,"3,801.48017222"
addr1q8l4dsm7ymfz0zqnmpp3k2dunp5y40hwgffun5xm5jphdccjwycqe8td5y7skn5dcmlj3r0z3rr0ssxdpqxufpl5f56qyutnf9,278,8550307300866,"85,503.07300866"
0x124224af3c7f2a9560e91bca64d8f11efdf21117,278,1050926051880,"10,509.26051880"
addr1q9fjrq64nfceznj5jvhje53ahu99yhxdsptsy05mzevzq6c5zv76h0gs7vay2ayp9x5x4qev0cdzuxaqd74lgmh6kfeqn9jg6m,293,0,0.00000000
0xb63f3a88d29f0cda12a76164c5404cfbbbab7736,295,259205133297,"2,592.05133297"
0x75b0cbd816c2e573beaccdb39340fa377c94aa23,296,20145935568966,"201,459.35568966"
0xc27ea930ebb9e0360db81e2d5feca9750b2642f2,301,5616375144106,"56,163.75144106"
0x180ab61c9db173b50abbae000d2dc107dd302c5c,313,0,0.00000000
0x2fe112e725208da0aaf8f86157b3576a7e85975e,317,2015113938599,"20,151.13938599"
addr1qx2rhevr07na8v2ejq0xjaxs2m8nnw5ddv9kz3yrwr650fmy3377y7pmdf7sf2d3ral3ke54uwk6lz49dker65s009tqul20uj,320,10137823747,101.37823747
0xccbcc956adee7896bc6c5aa87a6d09383edacd55,321,259088213691180,"2,590,882.13691180"
0x44e033ecde4811abe079cd5703e81a8c4f059907,321,101693037509891,"1,016,930.37509891"
0x4b37fcdeeb3d6d03953bc6108e9c048e1d392303,321,101693037509891,"1,016,930.37509891"
0x546278c098e63a5bddf5510c6828816983116629,321,101693037509891,"1,016,930.37509891"
